player_name,real_name,nationality,team,player_status
Eternal,Evandro Monteiro Coelho,Brazil,ODDIK,Active
Etheriia,Alec Braganza,United States,,Retired
Euriece,Jan Del Rosario,Canada,Torrent,Active
EVERMORE2,Koo Kyo-jun,South Korea,,Active
evokje,Elvinas Padegimas,Lithuania,Mutariuum,Active
evzy,Evelyn La Torre,Argentina,Team DeftFox,Active
Exens,Maxim Dmitruk,Russia,dead inside,Active
Exile,Jesse Aldazabal,United States,Team Pop-Tarts,Active
Exko,Dakota MacLeod,Canada,,Retired
eytiiN,Lucas Holmqvist,Sweden,Clique Esports,Active
EzFlash,Muamar Fahri Abrar,Indonesia,Method2Madness,Active
eziiie,Paweł Świder,Poland,,Active
Faenex,Kai van Duppen,Netherlands,Forg Gang,Active
Faide,Cole Caswell,United States,,Active
Falloutt,Jon Kefaloukos,United States,,Active
Farmerlucas,Lucas Watson,United States,,Active
FatFruitNinja,Ryan Pritchard,United States,Absolute Monarchy,Active
FATTMONSTER,Hasan Ali Naqvi,India,XSpark,Active
FeiJu,Lingjun Guo,China,MDY White,Active
felipiant,Felipi Antoni,Brazil,,Active
FenDiiLYZ,Lee Yong Ze,Malaysia,,Active
feu,Alefe Dos Santos,Brazil,,Banned
Finest,Austin Pendergraft,United States,Tempo Storm,Active
Finicki,Chris Cox,United States,,Retired
FiReMaNNN,Javier Collado,Chile,,Retired
Firo,,Japan,,Active
fitoo,Artem Ivanov,Russia,Magicians,Active
Fixzao,,Brazil,,Active
Fjeldern,Markus Fjeld,Norway,,Retired
fLameShotx,Tuan Attiff,Malaysia,MBT.NAGA,Active
Flanker,Thomas Cook,United States,Team Liquid,Active
Flaws,,Australia,,Retired
Fleeky_af,Aaron Staeben,Germany,,Retired
Fleow,Felipe Oliveira,Brazil,,Active
Fokarn,Alexander Söderberg,Sweden,,Active
FOLKZ,Bruno Fernandes,Brazil,,Active
Folti,Ray Donald Dewald,Germany,,Active
Forcee,Eric Sanchez,Mexico,Team Nerf,Active
Forsak3n,Viktors Bernevs,Latvia,,Retired
FoxieGG,Tyler Lowton,United Kingdom,,Retired
foZej,Berk Gürel,Turkey,,Active
FRANxx,,Japan,RxR Clover,Active
Frapper,Brendan Frappier,Canada,,Active
Fratis,Jakkrapat Khemkhajohn,Thailand,,Active
frazi,Wellington Kuwana,Brazil,FusioN E-Sport,Active
freddo,Luca Bacci,Italy,,Retired
FreeD,Vitalii Popov,Russia,,Retired
FRESHY,Dario Smiljanić,Croatia,,Retired
Frexs,Joseph Sanchez,United States,Spacestation Gaming,Active
Frogz,Kaue Soares,Brazil,Fênix Team,Active
